name_with_owner,descricao,valor,lado,severidade,mediana,primary_language,observacao
angular/angular.js,dias desde o último push,860.0,acima,extremo,1.0,JavaScript,
tiimgreen/github-cheat-sheet,dias desde o último push,857.0,acima,extremo,1.0,,
xitu/gold-miner,dias desde o último push,855.0,acima,extremo,1.0,,
SheetJS/sheetjs,dias desde o último push,854.0,acima,extremo,1.0,,
minimaxir/big-list-of-naughty-strings,dias desde o último push,854.0,acima,extremo,1.0,Python,
fighting41love/funNLP,dias desde o último push,832.0,acima,extremo,1.0,Python,
ClickHouse/ClickHouse,releases,830.0,acima,extremo,39.0,C++,
astaxie/build-web-application-with-golang,dias desde o último push,830.0,acima,extremo,1.0,Go,
continuedev/continue,releases,827.0,acima,extremo,39.0,TypeScript,
XingangPan/DragGAN,dias desde o último push,824.0,acima,extremo,1.0,Python,
metabase/metabase,releases,822.0,acima,extremo,39.0,Clojure,
dypsilon/frontend-dev-bookmarks,dias desde o último push,821.0,acima,extremo,1.0,,
swc-project/swc,releases,818.0,acima,extremo,39.0,Rust,
router-for-me/CLIProxyAPI,releases,818.0,acima,extremo,39.0,Go,
kubernetes/kubernetes,releases,814.0,acima,extremo,39.0,Go,
ehang-io/nps,dias desde o último push,812.0,acima,extremo,1.0,Go,
bayandin/awesome-awesomeness,dias desde o último push,808.0,acima,extremo,1.0,Ruby,
algorithm-visualizer/algorithm-visualizer,dias desde o último push,802.0,acima,extremo,1.0,JavaScript,
necolas/normalize.css,dias desde o último push,799.0,acima,extremo,1.0,CSS,
CompVis/stable-diffusion,dias desde o último push,793.0,acima,extremo,1.0,Jupyter Notebook,
jlevy/the-art-of-command-line,dias desde o último push,786.0,acima,extremo,1.0,,
scutan90/DeepLearning-500-questions,dias desde o último push,785.0,acima,extremo,1.0,JavaScript,
jakevdp/PythonDataScienceHandbook,dias desde o último push,785.0,acima,extremo,1.0,Jupyter Notebook,
zai-org/ChatGLM-6B,dias desde o último push,784.0,acima,extremo,1.0,Python,
jondot/awesome-react-native,dias desde o último push,776.0,acima,extremo,1.0,JavaScript,
n8n-io/n8n,releases,770.0,acima,extremo,39.0,TypeScript,
carbon-language/carbon-lang,releases,766.0,acima,extremo,39.0,C++,
nvbn/thefuck,dias desde o último push,762.0,acima,extremo,1.0,Python,
ant-design/ant-design,releases,759.0,acima,extremo,39.0,TypeScript,
google-research/bert,dias desde o último push,757.0,acima,extremo,1.0,Python,
xkcoding/spring-boot-demo,dias desde o último push,757.0,acima,extremo,1.0,Java,
aymericdamien/TensorFlow-Examples,dias desde o último push,755.0,acima,extremo,1.0,Jupyter Notebook,
TencentARC/GFPGAN,dias desde o último push,755.0,acima,extremo,1.0,Python,
goabstract/Awesome-Design-Tools,dias desde o último push,753.0,acima,extremo,1.0,JavaScript,
DopplerHQ/awesome-interview-questions,dias desde o último push,752.0,acima,extremo,1.0,,
ryanmcdermott/clean-code-javascript,dias desde o último push,752.0,acima,extremo,1.0,JavaScript,
animate-css/animate.css,dias desde o último push,752.0,acima,extremo,1.0,CSS,
