name_with_owner,url,primary_language,metrica,descricao,valor,lado,severidade,limite_inferior,limite_superior,mediana,observacao
laravel/framework,https://github.com/laravel/framework,PHP,releases_count,releases,966.0,acima,extremo,-220.5,367.5,39.0,
ionic-team/ionic-framework,https://github.com/ionic-team/ionic-framework,TypeScript,releases_count,releases,950.0,acima,extremo,-220.5,367.5,39.0,
siyuan-note/siyuan,https://github.com/siyuan-note/siyuan,TypeScript,releases_count,releases,945.0,acima,extremo,-220.5,367.5,39.0,
stablyai/orca,https://github.com/stablyai/orca,TypeScript,releases_count,releases,933.0,acima,extremo,-220.5,367.5,39.0,
PostHog/posthog,https://github.com/PostHog/posthog,Python,releases_count,releases,914.0,acima,extremo,-220.5,367.5,39.0,
anomalyco/opencode,https://github.com/anomalyco/opencode,TypeScript,releases_count,releases,861.0,acima,extremo,-220.5,367.5,39.0,
ClickHouse/ClickHouse,https://github.com/ClickHouse/ClickHouse,C++,releases_count,releases,830.0,acima,extremo,-220.5,367.5,39.0,
continuedev/continue,https://github.com/continuedev/continue,TypeScript,releases_count,releases,827.0,acima,extremo,-220.5,367.5,39.0,
metabase/metabase,https://github.com/metabase/metabase,Clojure,releases_count,releases,822.0,acima,extremo,-220.5,367.5,39.0,
router-for-me/CLIProxyAPI,https://github.com/router-for-me/CLIProxyAPI,Go,releases_count,releases,818.0,acima,extremo,-220.5,367.5,39.0,
swc-project/swc,https://github.com/swc-project/swc,Rust,releases_count,releases,818.0,acima,extremo,-220.5,367.5,39.0,
kubernetes/kubernetes,https://github.com/kubernetes/kubernetes,Go,releases_count,releases,814.0,acima,extremo,-220.5,367.5,39.0,
n8n-io/n8n,https://github.com/n8n-io/n8n,TypeScript,releases_count,releases,770.0,acima,extremo,-220.5,367.5,39.0,
carbon-language/carbon-lang,https://github.com/carbon-language/carbon-lang,C++,releases_count,releases,766.0,acima,extremo,-220.5,367.5,39.0,
ant-design/ant-design,https://github.com/ant-design/ant-design,TypeScript,releases_count,releases,759.0,acima,extremo,-220.5,367.5,39.0,
vitejs/vite,https://github.com/vitejs/vite,TypeScript,releases_count,releases,714.0,acima,extremo,-220.5,367.5,39.0,
puppeteer/puppeteer,https://github.com/puppeteer/puppeteer,TypeScript,releases_count,releases,701.0,acima,extremo,-220.5,367.5,39.0,
angular/angular,https://github.com/angular/angular,TypeScript,releases_count,releases,693.0,acima,extremo,-220.5,367.5,39.0,
coollabsio/coolify,https://github.com/coollabsio/coolify,PHP,releases_count,releases,692.0,acima,extremo,-220.5,367.5,39.0,
vuetifyjs/vuetify,https://github.com/vuetifyjs/vuetify,TypeScript,releases_count,releases,675.0,acima,extremo,-220.5,367.5,39.0,
remotion-dev/remotion,https://github.com/remotion-dev/remotion,TypeScript,releases_count,releases,673.0,acima,extremo,-220.5,367.5,39.0,
langfuse/langfuse,https://github.com/langfuse/langfuse,TypeScript,releases_count,releases,658.0,acima,extremo,-220.5,367.5,39.0,
grafana/grafana,https://github.com/grafana/grafana,TypeScript,releases_count,releases,640.0,acima,extremo,-220.5,367.5,39.0,
remix-run/remix,https://github.com/remix-run/remix,TypeScript,releases_count,releases,639.0,acima,extremo,-220.5,367.5,39.0,
sveltejs/svelte,https://github.com/sveltejs/svelte,JavaScript,releases_count,releases,636.0,acima,extremo,-220.5,367.5,39.0,
react-hook-form/react-hook-form,https://github.com/react-hook-form/react-hook-form,TypeScript,releases_count,releases,618.0,acima,extremo,-220.5,367.5,39.0,
calcom/cal.diy,https://github.com/calcom/cal.diy,TypeScript,releases_count,releases,611.0,acima,extremo,-220.5,367.5,39.0,
ToolJet/ToolJet,https://github.com/ToolJet/ToolJet,JavaScript,releases_count,releases,596.0,acima,extremo,-220.5,367.5,39.0,
google-gemini/gemini-cli,https://github.com/google-gemini/gemini-cli,TypeScript,releases_count,releases,592.0,acima,extremo,-220.5,367.5,39.0,
SagerNet/sing-box,https://github.com/SagerNet/sing-box,Go,releases_count,releases,584.0,acima,moderado,-220.5,367.5,39.0,
