name_with_owner,primary_language,language_group,is_popular_language,open_issues,closed_issues,total_issues,has_issues,closed_issues_percentage
dani-garcia/vaultwarden,Rust,Rust,False,15,2737,2752,True,99.45494186046511
Fission-AI/OpenSpec,TypeScript,TypeScript,True,100,501,601,True,83.36106489184692
kelseyhightower/nocode,Dockerfile,Dockerfile,False,4229,737,4966,True,14.840918244059607
alacritty/alacritty,Rust,Rust,False,330,6016,6346,True,94.79987393633785
lydiahallie/javascript-questions,,Sem linguagem identificada,False,20,233,253,True,92.09486166007905
docling-project/docling,Python,Python,True,897,1074,1971,True,54.49010654490106
kdn251/interviews,Java,Java,True,35,24,59,True,40.67796610169492
localstack/localstack,Python,Python,True,0,6178,6178,True,100.0
Mintplex-Labs/anything-llm,JavaScript,JavaScript,True,292,3453,3745,True,92.20293724966622
shanraisshan/claude-code-best-practice,HTML,HTML,False,4,48,52,True,92.3076923076923
gsd-build/get-shit-done,JavaScript,JavaScript,True,0,1890,1890,True,100.0
nocodb/nocodb,TypeScript,TypeScript,True,395,4357,4752,True,91.68771043771044
traefik/traefik,Go,Go,True,694,6136,6830,True,89.83894582723279
warpdotdev/warp,Rust,Rust,False,3823,7001,10824,True,64.68033998521804
tw93/Mole,Shell,Shell,True,8,895,903,True,99.1140642303433
ryanoasis/nerd-fonts,CSS,CSS,False,15,1143,1158,True,98.70466321243524
keras-team/keras,Python,Python,True,137,12740,12877,True,98.93608759804302
scrapy/scrapy,Python,Python,True,265,3037,3302,True,91.97456087219867
rust-lang/rustlings,Rust,Rust,False,24,746,770,True,96.88311688311688
mem0ai/mem0,Python,Python,True,254,1849,2103,True,87.92201616737994
ZhuLinsen/daily_stock_analysis,Python,Python,True,38,781,819,True,95.36019536019536
FFmpeg/FFmpeg,C,C,False,0,0,0,False,
commaai/openpilot,Python,Python,True,79,3223,3302,True,97.60751059963658
tldr-pages/tldr,Markdown,Markdown,False,232,1559,1791,True,87.0463428252373
asgeirtj/system_prompts_leaks,JavaScript,JavaScript,True,21,41,62,True,66.12903225806451
NanmiCoder/MediaCrawler,Python,Python,True,160,466,626,True,74.4408945686901
socketio/socket.io,TypeScript,TypeScript,True,164,3500,3664,True,95.52401746724891
virattt/ai-hedge-fund,Python,Python,True,52,227,279,True,81.36200716845879
resume/resume.github.com,JavaScript,JavaScript,True,64,67,131,True,51.14503816793893
jgraph/drawio-desktop,JavaScript,JavaScript,True,8,1797,1805,True,99.5567867036011
git/git,C,C,False,0,0,0,False,
pathwaycom/pathway,Python,Python,True,29,142,171,True,83.04093567251462
usememos/memos,Go,Go,True,24,3019,3043,True,99.21130463358527
topjohnwu/Magisk,Kotlin,Kotlin,False,38,6574,6612,True,99.42528735632183
karpathy/nanoGPT,Python,Python,True,248,115,363,True,31.68044077134986
youngyangyang04/leetcode-master,Shell,Shell,True,213,68,281,True,24.199288256227756
withastro/astro,TypeScript,TypeScript,True,23,6534,6557,True,99.64922983071527
PlexPt/awesome-chatgpt-prompts-zh,,Sem linguagem identificada,False,40,62,102,True,60.78431372549019
sansan0/TrendRadar,Python,Python,True,36,460,496,True,92.74193548387096
reduxjs/redux,TypeScript,TypeScript,True,39,2038,2077,True,98.12229176697159
FuelLabs/sway,Rust,Rust,False,880,2437,3317,True,73.47000301477239
minio/minio,Go,Go,True,44,7841,7885,True,99.4419784400761
2dust/v2rayNG,Kotlin,Kotlin,False,11,4061,4072,True,99.72986247544205
lodash/lodash,JavaScript,JavaScript,True,54,4308,4362,True,98.76203576341128
RVC-Boss/GPT-SoVITS,Python,Python,True,789,1255,2044,True,61.399217221135025
pbakaus/impeccable,JavaScript,JavaScript,True,50,188,238,True,78.99159663865547
upstash/context7,TypeScript,TypeScript,True,20,2227,2247,True,99.1099243435692
Solido/awesome-flutter,Dart,Dart,False,0,0,0,False,
ChrisTitusTech/winutil,PowerShell,PowerShell,False,13,2365,2378,True,99.4533221194281
tw93/Pake,Rust,Rust,False,0,568,568,True,100.0
1c7/chinese-independent-developer,Python,Python,True,1,361,362,True,99.72375690607734
